5580	7810	15229	2726	2185	29626	20170	17949	27472	11300	8848	30208	29511	413	15687	10939	17340	19600	3772	27056	3605	29720	12205	16000	28165	
10601	16275	29062	22022	29292	21695	1957	8195	18345	12968	28484	5716	18794	14980	405	2288	20509	18965	10015	17118	23547	31942	628	29677	10215	
758	7234	25253	25497	916	7569	31357	22779	15340	15690	2639	211	20928	6647	18184	19107	2971	24779	26276	7117	25442	26082	26458	18939	10028	
4553	22291	5310	7251	18497	12065	25206	22732	11328	6190	17521	18099	25913	10866	1623	1578	18845	297	19653	8548	4770	8261	1848	18173	66	
16224	14637	396	31880	9460	24198	2940	24839	20174	28464	29208	6571	15552	17923	21220	29108	18071	28393	4147	28671	3660	8259	29174	15240	25215	
25480	15315	10541	9504	12591	26999	22197	2672	976	1324	30480	17448	9862	19630	13280	27895	17047	6202	18489	18482	28759	14313	14501	10696	20297	
15164	19564	6772	27016	22264	11282	3126	26213	23860	18720	13059	20562	31664	29480	21948	29183	13416	15875	11101	3778	17513	7517	6263	31292	27876	
22900	24800	21306	21121	16668	8616	26073	26357	15623	10064	30958	4311	10307	29751	2724	1455	4612	2901	16487	2641	19620	21291	3585	3433	28136	
9466	22531	20566	9349	23604	5479	4668	1762	31280	13427	29012	16160	12833	18145	30343	14424	29001	14652	571	12579	14186	6541	31086	22368	21374	
12599	9729	20785	22695	30240	21846	22343	24425	5905	21021	17504	26391	10080	28266	15885	27531	11724	26379	23225	794	6824	4378	26855	6344	26940	
1486	15291	5815	28776	16534	8380	5350	9866	25449	25304	24600	23714	5463	424	27921	13492	12133	27638	3080	22382	11159	8317	28762	11531	2638	
12271	24700	7543	8660	11581	8755	7092	3126	12562	30471	124	10066	10656	15605	30760	23344	22432	1892	2000	6806	7316	17498	28084	20950	335	
16880	24794	14315	952	10243	29689	13764	20171	14893	8086	22496	6113	30195	14189	282	28208	24896	20242	15816	24981	7443	20952	10751	31122	4212	
20978	30264	7571	16300	21208	10009	21109	9141	4845	17805	29000	5616	6238	18454	15188	9238	1357	9828	28507	24689	30511	19238	17438	588	30066	
22560	27682	27304	13155	28798	1716	24880	10576	103	8747	7535	18665	8406	13165	28737	20716	19110	9909	8583	1026	9196	28051	22047	18148	17545	
11828	4628	27073	26367	30691	11025	8420	3715	8400	16156	28818	21332	12560	896	4145	18764	485	11	2224	13492	24641	2682	4642	349	5509	
5682	29868	12268	20878	11313	28834	11638	755	8003	29165	18765	17031	20601	4784	15641	2854	6103	12587	31530	7854	9549	7391	14092	15435	28137	
7922	23644	3064	31050	25046	26587	25410	9048	31782	22209	18255	9778	8912	8276	20512	104	18041	28088	20755	2923	8221	1033	27308	22081	28918	
5287	27028	6269	31136	26577	5858	20847	27770	5494	23962	26520	24399	16455	26995	23648	54	1809	8926	26636	4534	8266	11331	4586	29230	21482	
17550	6350	12916	18300	13034	16322	700	20596	8140	21242	25789	16579	563	30982	9743	25001	28720	9291	15830	4298	13729	14516	15013	13189	11329	
14757	1436	29825	25061	5169	21460	647	12800	22924	18174	12185	2921	194	326	25400	17246	28330	12414	27401	6600	5910	21624	18077	21184	8781	
17587	9100	2387	5051	14650	21188	8066	1767	23242	10272	28557	11173	7731	30781	8818	21132	28416	10377	20400	7594	27994	1436	19024	10615	17194	
21452	16166	16904	21630	19963	2133	30853	20270	1716	23057	11485	23999	24439	11433	24504	391	2640	1988	24750	22546	18862	4842	11446	20421	25203	
3911	4321	4033	29768	7852	25928	5899	11315	31703	29762	22249	1387	2036	25051	19599	3179	20836	10114	24058	22597	30652	30722	284	11833	4369	
8116	23611	902	29811	13554	8852	20864	3511	11470	2115	28643	7802	10244	14951	26983	4194	3118	24705	403	15527	15671	16413	19160	19666	2834	
17333	16343	6341	10156	26834	27394	9724	14623	22900	14699	11282	23592	13492	11735	17031	10971	19112	15637	7104	7061	20359	17551	29007	19507	18957	
20255	1397	3457	16673	7204	24037	17141	27830	7380	7115	27294	28143	23508	5389	24919	21126	774	4817	14144	26478	29602	22847	10351	7863	9352	
23688	3554	3251	15060	18215	23224	16471	4275	13671	31137	31459	7798	18981	7828	2758	31205	215	24768	19899	24534	24781	12484	7737	31742	30135	
545	12298	25350	12648	9969	8249	29409	6873	28883	15410	3422	28273	16935	17445	24825	4995	19584	11435	13303	2841	20821	9132	26034	15344	19962	
23680	6705	16323	9166	26452	17403	5580	4279	6096	45	24201	3019	16119	30923	1212	23120	15438	16724	30645	28903	10816	24985	23251	29956	10689	
718	20041	29345	4402	29410	13598	6708	644	29196	7288	6878	11425	422	10265	27877	15367	4927	10282	8292	16054	2796	15415	1089	588	8158	
10108	14688	7024	14394	14943	1558	22892	29989	30013	224	286	14365	18537	20822	15377	4752	5490	23130	16614	21415	21925	14485	19961	10339	2515	
4644	14145	492	22357	19598	2936	13862	30284	20986	5244	3716	21805	13983	14070	14625	5502	21115	30009	20493	17882	9032	6509	27364	58	2732	
19180	28326	15225	15536	4844	4034	13069	29299	5215	14964	24603	13600	31511	21841	4272	21789	26158	4641	16968	24965	20901	16620	30867	13273	17227	
22872	29048	25586	16096	11826	23131	14394	17787	585	27291	26140	25641	23940	1887	14009	5591	5420	21651	25565	31858	4746	22317	16689	13644	29878	
3253	1458	19650	17070	7172	18785	5404	30374	844	2876	25780	21407	26456	21358	602	14651	26645	17859	12024	27088	7762	14430	20338	30395	9924	
8878	20944	18167	24141	30878	31391	27630	13181	17932	24468	14478	12634	7805	26739	20128	10076	13583	22319	5717	4796	12463	6995	21538	11503	4235	
29856	20686	17261	13514	10488	18378	15542	24443	20859	4032	28311	16844	751	12654	10665	27005	21861	24757	7708	8852	3865	3053	177	8529	30363	
30076	525	2148	4140	2983	9775	8030	19051	29352	30264	19814	24113	29952	28786	11309	26041	19982	1171	18212	28420	737	22081	23276	3451	15691	
